"code","broader","label_en","label_fr","label_es","label_ru","alternative","definition","note","uri"
"9.02.01.01","9.02.01","Cotton","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-02-01-01"
"9.02.01.02","9.02.01","Jute, kenaf, and other similar crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-02-01-02"
"9.02.01.03","9.02.01","Flax","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-02-01-03"
"9.02.01.04","9.02.01","Hemp","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-02-01-04"
"9.02.01.90","9.02.01","Other temporary fibre crops, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-02-01-90"
"9.02.02","9.02","Permanent fibre crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-02-02"
"9.02.02.01","9.02.02","Ramie","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-02-02-01"
"9.02.02.02","9.02.02","Sisal","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-02-02-02"
"9.02.02.90","9.02.02","Other permanent fibre crops, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-02-02-90"
"9.03","9","Medicinal, pesticidal or similar crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-03"
"9.03.01","9.03","Temporary medicinal, pesticidal or similar crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-03-01"
"9.03.01.01","9.03.01","Mint","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-03-01-01"
"9.03.01.02","9.03.01","Basil","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-03-01-02"
"9.03.01.90","9.03.01","Other temporary medicinal, pesticidal or similar crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-03-01-90"
"9.03.02","9.03","Permanent medicinal, pesticidal or similar crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-03-02"
"9.03.02.01","9.03.02","Ginseng","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-03-02-01"
"9.03.02.02","9.03.02","Coca","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-03-02-02"
"9.03.02.03","9.03.02","Kava","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-03-02-03"
"9.03.02.04","9.03.02","Guarana","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-03-02-04"
"9.03.02.90","9.03.02","Other permanent medicinal, pesticidal or similar crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-03-02-90"
"9.04","9","Rubber","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-04"
"9.05","9","Flower crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-05"
"9.05.01","9.05","Temporary flower crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-05-01"
"9.05.02","9.05","Permanent flower crops","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-05-02"
"9.06","9","Tobacco","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-06"
"9.9","9","Other crops, n.e.c.","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-9"
"9.90.01","9.9","Other crops, n.e.c. – temporary","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-90-01"
"9.90.02","9.9","Other crops, n.e.c. – permanent","","","","","","","https://stats.fao.org/classifications/ICC/v1.1/9-90-02"
