 "code" , "broader" , "label_en" , "label_ar" , "label_zh" , "label_es" , "label_fr" , "label_ru" , "alternative_label" , "definition" , "note" , "concept" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.122" , "012.12" , "Pulpwood and wood for wood-based panels, tropical non-coniferous" ,   ,   ,   ,   ,   ,   , "Roundwood that will be used for the production of pulp, particleboard, oriented strand board (OSB) or fibreboard. 
It includes: roundwood (with or without bark) that will be used for these purposes in its round form or as splitwood or wood chips made directly (i.e. in the forest) from roundwood" ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.122" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1221" , "012.122" , "Pulpwood and wood for wood-based panels, tropical non-coniferous, for pulp" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1221" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1222" , "012.122" , "Pulpwood and wood for wood-based panels, tropical non-coniferous, for particle board" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1222" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1223" , "012.122" , "Pulpwood and wood for wood-based panels, tropical non-coniferous, for fibreboard" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1223" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1224" , "012.122" , "Pulpwood and wood for wood-based panels, tropical non-coniferous, for wood wool" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1224" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1229" , "012.122" , "Pulpwood and wood for wood-based panels, tropical non-coniferous, for uses n.e.c." ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1229" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.129" , "012.12" , "Other pulpwood and wood for wood-based panels" ,   ,   ,   ,   ,   ,   , "Roundwood that will be used for the production of pulp, particleboard, oriented strand board (OSB) or fibreboard. 
It includes: roundwood (with or without bark) that will be used for these purposes in its round form or as splitwood or wood chips made directly (i.e. in the forest) from roundwood" ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.129" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1291" , "012.129" , "Other pulpwood and wood for wood-based panels, for pulp" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1291" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1292" , "012.129" , "Other pulpwood and wood for wood-based panels, for particle board" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1292" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1293" , "012.129" , "Other pulpwood and wood for wood-based panels, for fibreboard" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1293" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1294" , "012.129" , "Other pulpwood and wood for wood-based panels, for wood wool" ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1294" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
 "012.1299" , "012.129" , "Other pulpwood and wood for wood-based panels, for uses n.e.c." ,   ,   ,   ,   ,   ,   , "N.A." ,   , "https://stats.fao.org/classifications/FPCD/v2022/012.1299" ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,
